datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
265911,728,1,15,15-Jan-0728 00:00:00,279.753511745669,280.432731688998,279.07429180234
266397,729,5,15,15-May-0729 00:00:00,280.65340588998,282.160455716657,279.146356063304
266885,730,9,15,15-Sep-0730 00:00:00,276.640410649543,274.403973392373,278.876847906713
267372,732,1,15,15-Jan-0732 00:00:00,279.778779016435,280.457998959764,279.099559073106
267858,733,5,15,15-May-0733 00:00:00,280.68809279751,282.195142624187,279.181042970834
268346,734,9,15,15-Sep-0734 00:00:00,276.673007000375,274.436569743205,278.909444257545
268833,736,1,15,15-Jan-0736 00:00:00,279.805246665735,280.484466609064,279.126026722406
269319,737,5,15,15-May-0737 00:00:00,280.701694061197,282.208743887874,279.194644234521
269807,738,9,15,15-Sep-0738 00:00:00,276.686218326634,274.449781069464,278.922655583804
270294,740,1,15,15-Jan-0740 00:00:00,279.819325875881,280.49854581921,279.140105932552
270780,741,5,15,15-May-0741 00:00:00,280.723417387317,282.230467213994,279.216367560641
271268,742,9,15,15-Sep-0742 00:00:00,276.705171138265,274.468733881095,278.941608395435
271755,744,1,15,15-Jan-0744 00:00:00,279.842448450428,280.521668393757,279.163228507099
272241,745,5,15,15-May-0745 00:00:00,280.753313026297,282.260362852974,279.246263199621
272729,746,9,15,15-Sep-0746 00:00:00,276.737596425825,274.501159168655,278.974033682995
273216,748,1,15,15-Jan-0748 00:00:00,279.885715402657,280.564935345986,279.206495459328
273702,749,5,15,15-May-0749 00:00:00,280.787490462729,282.294540289406,279.280440636053
274190,750,9,15,15-Sep-0750 00:00:00,276.771483129836,274.535045872666,279.007920387006
274677,752,1,15,15-Jan-0752 00:00:00,279.905825490085,280.585045433414,279.226605546756
275163,753,5,15,15-May-0753 00:00:00,280.812783982801,282.319833809478,279.305734156125
275651,754,9,15,15-Sep-0754 00:00:00,276.793438734757,274.557001477587,279.029875991927
276138,756,1,15,15-Jan-0756 00:00:00,279.938927280859,280.618147224188,279.25970733753
276624,757,5,15,15-May-0757 00:00:00,280.848886996784,282.355936823461,279.341837170108
277112,758,9,15,15-Sep-0758 00:00:00,276.831477307636,274.595040050466,279.067914564806
277599,760,1,15,15-Jan-0760 00:00:00,279.96859534057,280.647815283899,279.289375397241
278085,761,5,15,15-May-0761 00:00:00,280.875534632704,282.382584459381,279.368484806028
278573,762,9,15,15-Sep-0762 00:00:00,276.854413046827,274.617975789657,279.090850303997
279060,764,1,15,15-Jan-0764 00:00:00,279.988093863218,280.667313806547,279.308873919889
279546,765,5,15,15-May-0765 00:00:00,280.886861419923,282.3939112466,279.379811593247
280034,766,9,15,15-Sep-0766 00:00:00,276.869708756228,274.633271499058,279.106146013398
